Rank,Title,Budget,Genre
419,The Adventures of Tintin,N/A,Action Adventure Animation Family Mystery
420,Penguins of Madagascar,"$132,000,000",Action Adventure Animation Comedy Crime Family Sci-Fi
421,X-Men Origins: Wolverine,"$150,000,000",Action Sci-Fi
422,Creation of the Gods I: Kingdom of Storms,N/A,Action Adventure Drama Fantasy
423,Twisters,N/A,Action Adventure Thriller
424,The Golden Compass,"$180,000,000",Adventure Family Fantasy
425,Fifty Shades Freed,"$55,000,000",Drama Mystery Romance Thriller
426,Hitch,"$70,000,000",Comedy Romance
427,Terminator Salvation,"$200,000,000",Action Adventure Sci-Fi
428,Gone Girl,"$61,000,000",Drama Mystery Thriller
429,Captain America: The First Avenger,"$140,000,000",Action Adventure Sci-Fi
430,There's Something About Mary,"$23,000,000",Comedy Romance
431,The Fugitive,N/A,Action Crime Drama Mystery Thriller
432,Jurassic Park III,"$93,000,000",Action Adventure Sci-Fi Thriller
433,My Big Fat Greek Wedding,"$5,000,000",Comedy Drama Romance
434,Shazam!,"$100,000,000",Action Adventure Comedy Fantasy
435,Hello Mr. Billionaire,N/A,Comedy
436,Die Hard with a Vengeance,"$90,000,000",Action Adventure Thriller
437,The Nun,"$22,000,000",Horror Mystery Thriller
438,Sinners,N/A,Action Drama Horror Music Thriller
439,Alvin and the Chipmunks,"$60,000,000",Adventure Animation Comedy Family Fantasy Music Musical
440,Tenet,N/A,Action Sci-Fi Thriller
441,Notting Hill,"$42,000,000",Comedy Drama Romance
442,A Bug's Life,"$120,000,000",Adventure Animation Comedy Family
443,Night at the Museum: Secret of the Tomb,"$127,000,000",Adventure Comedy Family Fantasy
444,Ocean's Twelve,"$110,000,000",Crime Thriller
445,Mary Poppins Returns,"$130,000,000",Adventure Comedy Family Fantasy Music Musical
446,Planet of the Apes,"$100,000,000",Action Adventure Sci-Fi Thriller
447,The Hangover Part III,"$103,000,000",Comedy Crime
448,The World Is Not Enough,"$135,000,000",Action Adventure Thriller
